constit,counts_apr20,counts_aug20,counts_dec20,counts_feb21,counts_jan21,counts_jul20,counts_jun20,counts_mar20,counts_mar21,counts_may20,counts_nov20,counts_oct20,counts_sep20,population,mp,party,md_mar20,md_apr20,md_may20,md_jun20,md_jul20,md_aug20,md_sep20,md_oct20,md_nov20,md_dec20,md_jan21,md_feb21,md_mar21
Aberavon,319,230,218,190,209,222,318,323,173,338,223,228,234,66126,Stephen Kinnock,Labour,0.488461435,0.482412368,0.511145413,0.480900109,0.335722715,0.347820818,0.353869885,0.3447963,0.337234974,0.329673648,0.316063285,0.28733024,0.261621743
Aberconwy,545,399,438,410,437,398,571,534,391,586,422,417,419,56413,Robin Millar,Conservative,0.946590304,0.966089368,1.038767695,1.012178063,0.705511153,0.707283795,0.742736578,0.739191294,0.748054504,0.776416779,0.774644136,0.726782858,0.693102658
Aberdeen North,816,598,614,572,609,602,858,834,545,886,596,590,590,99273,Kirsty Blackman,Scottish National Party,0.84010756,0.821975768,0.89248842,0.864283323,0.606408596,0.602379322,0.594320714,0.594320714,0.600364625,0.618496478,0.613459826,0.576188922,0.548991144
Aberdeen South,1098,787,805,680,802,779,1130,1124,659,1209,796,800,782,93328,Stephen Flynn,Scottish National Party,1.204354525,1.17649579,1.295431137,1.210783482,0.834690571,0.843262494,0.837905049,0.857191861,0.852905869,0.862549305,0.859334826,0.728613079,0.706111789
Airdrie and Shotts,366,281,273,250,278,265,385,359,240,404,277,281,288,85801,Anum Qaisar-Javed,Scottish National Party,0.418410033,0.426568449,0.470856994,0.448712707,0.308854222,0.327502012,0.335660428,0.327502012,0.322840065,0.318178117,0.324005544,0.291371882,0.279717028
Aldershot,1260,923,920,824,916,915,1318,1292,803,1385,925,942,952,103938,Leo Docherty,Conservative,1.243048787,1.2122612,1.332525134,1.268063664,0.88033253,0.888029397,0.915930629,0.906309545,0.889953613,0.885143042,0.881294608,0.79278034,0.772575974
Aldridge-Brownhills,577,406,416,408,417,421,603,585,379,632,400,400,397,76985,Wendy Morton,Conservative,0.759888291,0.749496639,0.820939124,0.783269465,0.546859801,0.52737546,0.515684903,0.519581735,0.519581735,0.540364981,0.541663945,0.529973388,0.492303699
Altrincham and Sale West,1897,1364,1464,1180,1405,1337,1965,1923,1161,2048,1441,1402,1375,96434,Sir Graham Brady,Conservative,1.994109988,1.967148542,2.123732328,2.037662983,1.386440516,1.414438844,1.425845623,1.45384407,1.494286299,1.51813674,1.456955075,1.223634839,1.203932166
Alyn and Deeside,649,493,502,424,494,470,671,634,405,688,509,501,503,82572,Mark Tami,Labour,0.767814755,0.785980701,0.833212256,0.812624156,0.569200218,0.59705472,0.609165311,0.606743217,0.616431713,0.607954264,0.598265767,0.513491273,0.490481049
Amber Valley,595,451,469,409,446,463,617,602,397,635,459,466,460,87947,Nigel Mills,Conservative,0.684503138,0.676543832,0.722025752,0.701558888,0.526453435,0.512808859,0.523042262,0.52986455,0.521905243,0.533275723,0.50712359,0.465052813,0.451408237
Angus,306,221,238,214,238,211,319,305,204,329,234,233,233,86070,Dave Doogan,Scottish National Party,0.354362726,0.35552457,0.382247001,0.370628566,0.2451493,0.25676775,0.270709902,0.270709902,0.271871746,0.27651912,0.27651912,0.24863483,0.23701638
Arfon,369,278,291,257,285,266,375,349,244,381,290,289,291,60543,Hywel Williams,Plaid Cymru,0.576449811,0.609484196,0.629304767,0.619394481,0.439357162,0.459177762,0.480650127,0.477346689,0.478998393,0.480650127,0.470739812,0.424491674,0.403019339
Argyll and Bute,554,419,414,372,419,414,573,551,365,597,419,425,429,87912,Brendan O'Hara,Scottish National Party,0.626763105,0.63017565,0.679088175,0.651788175,0.47092548,0.476612985,0.487987995,0.483437985,0.476612985,0.47092548,0.476612985,0.42315042,0.415187925
Arundel and South Downs,1515,1134,1138,1046,1131,1127,1575,1527,1021,1637,1138,1173,1164,97327,Andrew Griffith,Conservative,1.568937659,1.556608081,1.681958795,1.618255973,1.15795207,1.165144324,1.19596827,1.205215454,1.169254184,1.169254184,1.16206193,1.074727416,1.049040914
Ashfield,540,397,435,390,429,401,556,559,369,580,428,427,418,101912,Lee Anderson,Conservative,0.548512459,0.529868901,0.56911844,0.545568705,0.393476725,0.389551759,0.41015777,0.418988943,0.419970185,0.426838845,0.420951396,0.382683098,0.362077087
Ashford,1528,1164,1165,1059,1155,1164,1602,1509,1027,1659,1147,1154,1169,112896,Damian Green,Conservative,1.336628437,1.353458047,1.469494104,1.419005156,1.03103745,1.03103745,1.035466313,1.022179723,1.01597929,1.031923175,1.023065448,0.938031435,0.909686804
Ashton-under-Lyne,510,365,388,361,386,374,540,535,345,577,381,374,376,90799,Angela Rayner,Labour,0.58921355,0.561680198,0.635469556,0.594720185,0.411898822,0.401986808,0.414101481,0.411898822,0.419608146,0.42731747,0.42511481,0.397581458,0.37996012
Aylesbury,1579,1120,1123,1058,1130,1125,1637,1577,1073,1737,1126,1126,1124,107943,Rob Butler,Conservative,1.460956216,1.462809086,1.609182596,1.516541123,1.042216778,1.037584662,1.041290283,1.043143153,1.043143153,1.040363908,1.046848774,0.980146945,0.994043171
"Ayr, Carrick and Cumnock",429,334,339,326,349,320,450,447,310,471,340,348,358,93112,Allan Dorans,Scottish National Party,0.480067015,0.46073547,0.505842447,0.483288944,0.343672127,0.358707786,0.384483188,0.373743445,0.365151644,0.364077657,0.374817431,0.350115985,0.332932383
