state_name,state_abbrev,fips,total_pop_20,orders_rank_aug19,orders_rank_sep19,orders_rank_oct19,orders_rank_nov19,orders_rank_dec19,orders_rank_jan20,orders_rank_feb20,orders_rank_mar20,orders_rank_apr20,orders_rank_may20,orders_rank_jun20,orders_rank_jul20,orders_rank_aug20,orders_rank_sep20,orders_rank_oct20,orders_rank_nov20,orders_rank_dec20,orders_rank_jan21,orders_rank_feb21,orders_rank_mar21,orders_rank_apr21,orders_rank_may21,orders_rank_jun21,orders_rank_jul21,orders_rank_aug21,orders_rank_sep21,orders_rank_oct21,orders_rank_nov21,orders_rank_dec21,orders_rank_jan22,orders_rank_feb22,orders_rank_mar22,orders_rank_apr22,orders_rank_may22,orders_rank_jun22,merchants_rank_aug19,merchants_rank_sep19,merchants_rank_oct19,merchants_rank_nov19,merchants_rank_dec19,merchants_rank_jan20,merchants_rank_feb20,merchants_rank_mar20,merchants_rank_apr20,merchants_rank_may20,merchants_rank_jun20,merchants_rank_jul20,merchants_rank_aug20,merchants_rank_sep20,merchants_rank_oct20,merchants_rank_nov20,merchants_rank_dec20,merchants_rank_jan21,merchants_rank_feb21,merchants_rank_mar21,merchants_rank_apr21,merchants_rank_may21,merchants_rank_jun21,merchants_rank_jul21,merchants_rank_aug21,merchants_rank_sep21,merchants_rank_oct21,merchants_rank_nov21,merchants_rank_dec21,merchants_rank_jan22,merchants_rank_feb22,merchants_rank_mar22,merchants_rank_apr22,merchants_rank_may22,merchants_rank_jun22,gmv_rank_aug19,gmv_rank_sep19,gmv_rank_oct19,gmv_rank_nov19,gmv_rank_dec19,gmv_rank_jan20,gmv_rank_feb20,gmv_rank_mar20,gmv_rank_apr20,gmv_rank_may20,gmv_rank_jun20,gmv_rank_jul20,gmv_rank_aug20,gmv_rank_sep20,gmv_rank_oct20,gmv_rank_nov20,gmv_rank_dec20,gmv_rank_jan21,gmv_rank_feb21,gmv_rank_mar21,gmv_rank_apr21,gmv_rank_may21,gmv_rank_jun21,gmv_rank_jul21,gmv_rank_aug21,gmv_rank_sep21,gmv_rank_oct21,gmv_rank_nov21,gmv_rank_dec21,gmv_rank_jan22,gmv_rank_feb22,gmv_rank_mar22,gmv_rank_apr22,gmv_rank_may22,gmv_rank_jun22,top3industries_aug19,top3industries_sep19,top3industries_oct19,top3industries_nov19,top3industries_dec19,top3industries_jan20,top3industries_feb20,top3industries_mar20,top3industries_apr20,top3industries_may20,top3industries_jun20,top3industries_jul20,top3industries_aug20,top3industries_sep20,top3industries_oct20,top3industries_nov20,top3industries_dec20,top3industries_jan21,top3industries_feb21,top3industries_mar21,top3industries_apr21,top3industries_may21,top3industries_jun21,top3industries_jul21,top3industries_aug21,top3industries_sep21,top3industries_oct21,top3industries_nov21,top3industries_dec21,top3industries_jan22,top3industries_feb22,top3industries_mar22,top3industries_apr22,top3industries_may22,top3industries_jun22,avg_traffic_aug19,avg_traffic_sep19,avg_traffic_oct19,avg_traffic_nov19,avg_traffic_dec19,avg_traffic_jan20,avg_traffic_feb20,avg_traffic_mar20,avg_traffic_apr20,avg_traffic_may20,avg_traffic_jun20,avg_traffic_jul20,avg_traffic_aug20,avg_traffic_sep20,avg_traffic_oct20,avg_traffic_nov20,avg_traffic_dec20,avg_traffic_jan21,avg_traffic_feb21,avg_traffic_mar21,avg_traffic_apr21,avg_traffic_may21,avg_traffic_jun21,avg_traffic_jul21,avg_traffic_aug21,avg_traffic_sep21,avg_traffic_oct21,avg_traffic_nov21,avg_traffic_dec21,avg_traffic_jan22,avg_traffic_feb22,avg_traffic_mar22,avg_traffic_apr22,avg_traffic_may22,avg_traffic_jun22,avg_lifespan_mths
Alabama,AL,1,5024279,17,24,23,31,27,34,21,19,16,15,16,26,30,26,26,39,39,35,31,28,31,29,29,24,30,20,27,26,27,25,23,17,19,20,30,35,35,36,43,33,31,30,34,35,31,27,24,30,25,25,27,26,27,30,30,32,29,28,28,29,29,29,29,29,28,26,22,24,28,25,41,38,37,40,39,43,36,39,39,36,29,34,43,40,40,46,47,45,37,37,37,42,41,41,46,41,38,38,41,40,33,30,32,32,45,"fashion, health_med, profsvcs","fashion, health_med, beauty","fashion, health_med, profsvcs","fashion, health_med, profsvcs","fashion, health_med, profsvcs","fashion, profsvcs, health_med","fashion, health_med, profsvcs","profsvcs, fashion, health_med","health_med, fashion, profsvcs","fashion, health_med, beauty","fashion, beauty, health_med","fashion, beauty, health_med","fashion, beauty, profsvcs","fashion, beauty, retail","fashion, beauty, retail","beauty, fashion, profsvcs","fashion, beauty, profsvcs","beauty, fashion, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, charity_or_pol","beauty, fashion, retail","fashion, beauty, performer","fashion, beauty, retail","fashion, beauty, sports","beauty, fashion, retail",97.7,90.9,96.8,83.1,80,91.3,99.3,138.8,88.1,110.9,124.3,111.9,108,101.5,108.8,103.2,99,113.9,111.8,128.8,121.1,122.5,125.2,86.7,95,113.2,133.4,123.4,125.6,130.4,128.8,137.1,140,140.5,131.2,13
Alaska,AK,2,733391,34,44,47,51,48,49,51,48,45,47,46,41,49,48,48,27,18,42,48,51,51,50,50,50,48,47,46,39,47,51,51,48,46,47,48,29,38,26,29,27,42,24,22,30,41,38,40,38,48,48,39,32,46,40,39,48,47,43,44,44,44,47,38,47,40,47,29,43,29,29,51,50,51,51,50,51,51,50,50,51,51,49,51,51,51,50,51,51,51,51,51,51,51,51,51,51,50,49,50,50,51,49,49,48,50,"retail, artdesign, fashion","retail, education, artdesign","retail, fashion, artdesign","fashion, retail, health_med","fashion, retail, beauty","retail, fashion, health_med","agriculture, fashion, artdesign","artdesign, fashion, agriculture","fashion, health_med, retail","auto, fashion, beauty","fashion, transportation, hobby","auto, fashion, beauty","fashion, auto, beauty","fashion, auto, beauty","fashion, auto, beauty","fashion, retail, health_med","fashion, retail, personalsvcs","retail, fashion, hobby","fashion, retail, hobby","fashion, pets, retail","fashion, retail, profsvcs","fashion, retail, health_med","fashion, retail, profsvcs","fashion, health_med, retail","fashion, realestate, retail","fashion, retail, health_med","fashion, retail, auto","fashion, retail, health_med","fashion, health_med, fooddrink","fashion, realestate, retail","health_med, fashion, entertainment","health_med, retail, realestate","health_med, fashion, retail","health_med, fashion, hobby","health_med, fashion, travel",100.7,94.9,89.7,82.3,84.6,95.8,100.4,111.3,107.1,115.1,129.5,123,131.5,107.4,119.7,101.2,106.8,126.8,112.9,126.9,124,131.8,132.2,91.1,90.4,100.9,112.1,105.1,107.1,114.2,112.4,134.8,138,148.1,142.3,14.5
Arizona,AZ,4,7151502,4,3,3,3,4,4,4,5,12,5,6,6,5,4,4,7,6,5,5,7,8,8,7,5,4,6,5,3,3,5,6,4,4,3,4,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,3,5,4,3,4,4,3,2,4,2,2,2,2,3,3,2,2,2,7,7,8,9,12,12,10,12,15,17,15,15,12,12,12,22,22,19,19,19,22,25,3,19,5,8,3,2,17,18,1,10,11,12,14,"industrial, health_med, hobby","fashion, hobby, health_med","health_med, hobby, fashion","beauty, fashion, health_med","auto, health_med, fashion","health_med, auto, fashion","health_med, beauty, auto","auto, health_med, beauty","auto, health_med, retail","beauty, retail, fashion","beauty, fashion, auto","beauty, fashion, health_med","beauty, fashion, industrial","beauty, auto, health_med","beauty, auto, health_med","beauty, auto, health_med","beauty, health_med, pets","beauty, auto, health_med","beauty, health_med, pets","beauty, auto, health_med","beauty, auto, pets","beauty, auto, health_med","beauty, health_med, auto","beauty, health_med, pets","beauty, health_med, pets","beauty, health_med, pets","beauty, health_med, auto","beauty, auto, health_med","health_med, beauty, fashion","beauty, health_med, pets","beauty, health_med, fashion","beauty, sports, health_med","beauty, health_med, fashion","beauty, health_med, pets","beauty, health_med, pets",80.2,74.5,79.3,77,73,83.4,89.3,85.8,80.6,96.6,103.6,103.8,103,94.4,102,89,93.2,104.7,98.4,115.2,111,109,103.7,74.2,86.6,96.6,108.9,103.9,105.4,122.1,120.3,126.4,128.5,125.5,115,14.4
Arkansas,AR,5,3011524,35,48,44,33,12,29,43,41,17,33,24,18,27,25,25,23,20,21,32,20,26,27,39,37,34,30,20,17,29,24,32,38,29,34,38,44,39,44,36,38,38,42,41,43,40,46,39,40,39,39,48,48,45,48,48,46,45,46,45,45,46,46,47,48,47,48,43,42,42,48,29,6,33,4,1,5,5,31,29,31,18,25,24,25,25,20,26,26,25,31,34,33,38,30,32,35,33,15,28,23,32,31,30,34,32,"fashion, pets, hobby","software_it, sports, fashion","fashion, pets, music","software_it, education, music","software_it, music, retail","software_it, pets, hobby","software_it, pets, hobby","hobby, pets, retail","hobby, health_med, fashion","pets, hobby, retail","outdoors, hobby, fashion","pets, fashion, outdoors","retail, pets, fashion","retail, fashion, pets","retail, fashion, pets","homedecor, retail, pets","fooddrink, retail, hobby","retail, pets, education","homedecor, retail, pets","retail, homedecor, hobby","retail, homedecor, hobby","retail, homedecor, health_med","fooddrink, retail, homedecor","homedecor, education, retail","homedecor, retail, hobby","retail, hobby, homedecor","retail, homedecor, hobby","homedecor, fashion, retail","homedecor, retail, hobby","hobby, homedecor, retail","homedecor, retail, health_med","homedecor, retail, agriculture","homedecor, retail, agriculture","homedecor, health_med, retail","homedecor, health_med, education",142.9,131.6,89.6,85.7,85.9,98.2,96.2,100.6,109.1,116.2,137,132,115.8,112,121,106.3,111.7,126.7,109.8,132.2,151.1,172.6,133.4,86.3,101.3,108.8,119.2,110,118.2,135.2,119.4,129.1,135.8,145.9,142.8,13.4
California,CA,6,39538224,14,15,16,16,24,15,25,18,19,26,19,21,19,21,21,22,24,19,23,25,23,23,21,17,19,16,19,18,11,14,16,14,15,17,7,20,22,22,25,25,21,20,28,23,22,20,22,21,20,20,22,22,20,20,21,22,22,23,21,22,19,23,24,25,27,25,27,26,25,26,25,25,22,23,23,28,27,23,26,30,30,29,26,29,29,31,34,28,31,32,32,36,35,33,35,28,29,30,27,25,26,19,25,26,30,"fashion, beauty, health_med","auto, beauty, health_med","beauty, health_med, auto","profsvcs, beauty, auto","homesvcs, beauty, fashion","beauty, health_med, fashion","beauty, auto, health_med","health_med, fashion, auto","fashion, fooddrink, health_med","auto, fashion, health_med","fashion, beauty, auto","auto, beauty, fashion","auto, beauty, fashion","beauty, auto, fashion","beauty, auto, fashion","auto, beauty, fashion","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, fashion","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, health_med","auto, retail, beauty","auto, hobby, health_med","auto, health_med, beauty","auto, beauty, hobby","retail, auto, beauty","auto, beauty, fashion","auto, beauty, health_med","auto, fashion, beauty",75.1,71.6,71.9,67.5,67.3,74.3,74.2,76.6,81.8,123,87.9,90.5,84.6,84.4,92.5,83.3,89.3,99.9,93.8,105.5,105.4,116.2,98.4,69.8,80.2,90.1,100,94.9,94.2,101.3,98.5,109.3,112.4,116.5,110.4,13
Colorado,CO,8,5773714,13,11,14,12,17,9,10,15,22,17,14,7,16,20,20,25,28,14,18,19,19,15,14,23,33,25,23,19,17,19,19,22,21,21,28,10,13,13,14,13,11,11,12,11,13,19,18,17,18,18,16,18,18,17,17,18,16,14,16,14,16,16,16,13,12,14,12,12,12,13,16,16,18,15,21,13,14,13,8,19,17,23,21,21,21,25,23,20,14,24,11,28,34,37,39,32,27,25,6,5,21,20,17,24,33,"photography, health_med, retail","health_med, photography, retail","health_med, photography, restaurant","health_med, retail, photography","health_med, photography, hobby","health_med, hobby, photography","health_med, hobby, photography","hobby, health_med, fooddrink","fooddrink, hobby, health_med","health_med, hobby, fooddrink","hobby, health_med, retail","health_med, retail, hobby","health_med, hobby, beauty","retail, health_med, hobby","retail, health_med, hobby","retail, health_med, fooddrink","retail, health_med, hobby","retail, hobby, health_med","retail, hobby, health_med","hobby, retail, health_med","hobby, sports, retail","sports, hobby, retail","hobby, fitness_wellness, sports","sports, hobby, fitness_wellness","hobby, health_med, retail","retail, hobby, sports","sports, fooddrink, retail","fooddrink, sports, hobby","fashion, hobby, retail","fashion, retail, agriculture","fashion, sports, health_med","fashion, health_med, homesvcs","fashion, sports, homesvcs","sports, health_med, fashion","health_med, homesvcs, sports",74,82.3,88.4,67.4,68.1,77.1,73.4,84.2,75.3,86.7,94.4,95.9,93.2,111.2,92.2,85,93.7,95.8,93,101,109.6,108.8,109.8,68.4,79.4,87.8,100.1,92.4,92.4,99.5,95.4,104.6,110.6,117.9,115.4,13.3
Connecticut,CT,9,3605944,38,42,45,29,34,31,14,14,7,10,17,19,15,14,14,11,9,6,6,6,5,6,5,4,6,5,3,5,4,4,3,1,1,1,1,23,27,28,23,22,23,22,26,21,19,18,17,18,16,16,13,14,14,13,14,14,14,16,17,16,17,15,14,12,16,16,15,15,14,16,22,17,28,28,30,29,25,35,22,24,23,24,19,17,17,18,19,21,18,20,18,13,10,10,13,11,8,6,8,10,7,11,8,7,9,"personalsvcs, construction, health_med","personalsvcs, construction, health_med","construction, beauty, software_it","construction, software_it, beauty","health_med, beauty, construction","construction, beauty, health_med","fashion, beauty, health_med","health_med, construction, beauty","fashion, fooddrink, agriculture","fashion, fooddrink, industrial","industrial, beauty, fooddrink","fashion, industrial, beauty","industrial, fashion, guns","fashion, industrial, beauty","fashion, industrial, beauty","industrial, fashion, construction","fashion, industrial, beauty","fashion, industrial, fooddrink","industrial, fashion, health_med","fashion, industrial, health_med","fashion, industrial, retail","fashion, industrial, retail","fashion, retail, industrial","fashion, industrial, retail","fashion, industrial, education","fashion, retail, industrial","fashion, retail, industrial","fashion, retail, industrial","fashion, retail, industrial","fashion, fooddrink, retail","fashion, fooddrink, retail","fashion, fooddrink, retail","fashion, fooddrink, retail","fashion, fooddrink, retail","fashion, retail, fooddrink",81.8,78.1,79,77.2,73.5,80.8,81.9,87.5,88.6,97,122.9,111.2,103.5,105.1,106.6,96.5,94.8,99.2,99.4,115.7,111.9,112.9,112.2,76.6,90.7,102.5,111.5,105.3,106.5,107.6,107,117.7,124.9,130,134.6,13.7
Delaware,DE,10,989948,26,27,32,24,33,35,36,39,25,25,7,10,7,12,12,16,22,17,17,16,24,26,25,33,24,19,18,20,25,26,33,20,38,39,23,8,7,8,15,14,13,12,11,10,9,9,9,10,8,8,9,10,10,9,8,8,9,8,9,8,9,9,10,9,9,9,8,8,7,8,20,30,39,37,44,40,32,46,49,46,16,26,25,27,27,36,42,39,40,28,31,35,36,28,36,33,39,43,48,31,46,44,44,47,31,"charity_or_pol, pets, industrial","personalsvcs, charity_or_pol, events","personalsvcs, industrial, performer","industrial, personalsvcs, performer","personalsvcs, industrial, pets","personalsvcs, industrial, fashion","industrial, personalsvcs, sports","industrial, consulting, fashion","transportation, pets, fashion","beauty, consulting, fashion","sports, health_med, beauty","sports, health_med, fashion","sports, health_med, personalsvcs","fashion, health_med, retail","fashion, health_med, retail","fashion, industrial, pets","fashion, pets, health_med","fashion, retail, beauty","fashion, beauty, health_med","industrial, fashion, beauty","fashion, industrial, retail","industrial, fashion, beauty","industrial, fashion, sports","sports, industrial, beauty","industrial, fashion, sports","industrial, fashion, beauty","industrial, beauty, fashion","beauty, fashion, sports","fashion, sports, beauty","profsvcs, health_med, beauty","fashion, beauty, profsvcs","fashion, beauty, retail","fashion, beauty, sports","beauty, fashion, retail","retail, fashion, sports",84.6,77.5,66.2,62.7,62.1,66.1,71.6,68.7,78.3,82.4,98.7,91.4,91.1,84.4,91.6,80.3,79.4,87.2,82.5,114.8,105.6,113,109.4,71.5,78.2,89.8,95.4,88,89.7,94,93.5,98.6,123.1,115.6,124.4,13.1
Florida,FL,12,21538188,2,7,5,5,5,5,5,6,10,8,5,5,6,8,8,6,7,7,7,5,4,7,8,7,7,7,6,8,8,8,7,6,7,7,10,5,5,6,5,6,5,6,6,6,7,6,5,5,5,5,8,8,7,7,6,6,6,5,5,5,6,5,7,4,4,4,4,4,5,5,12,15,14,14,18,16,13,14,14,16,14,13,15,15,15,13,16,16,20,15,17,21,21,23,17,23,16,17,18,14,15,14,10,13,13,"fashion, health_med, beauty","health_med, fashion, beauty","health_med, sports, beauty","sports, health_med, retail","hobby, beauty, fashion","beauty, health_med, retail","beauty, health_med, retail","health_med, beauty, retail","fashion, retail, health_med","fashion, beauty, retail","fashion, beauty, health_med","health_med, beauty, fashion","health_med, beauty, fashion","retail, health_med, beauty","retail, health_med, beauty","retail, health_med, beauty","health_med, beauty, fashion","health_med, beauty, software_it","health_med, beauty, fashion","beauty, health_med, auto","beauty, health_med, fooddrink","health_med, beauty, fashion","beauty, health_med, fashion","health_med, beauty, fashion","health_med, beauty, fashion","health_med, beauty, fashion","health_med, beauty, sports","beauty, health_med, retail","health_med, beauty, fashion","health_med, beauty, auto","health_med, beauty, auto","health_med, beauty, auto","health_med, beauty, auto","health_med, beauty, sports","health_med, beauty, auto",86.7,79.8,86.1,80.6,79.3,87.1,85.3,82,84.3,101.7,101.2,99.2,90.8,83.9,94,85.8,91.4,105.6,99.6,117.6,114.8,108.8,103.4,71.3,81.7,93.1,112.2,104.7,108.1,118.9,115.6,122.3,123.3,123.1,117.1,12.6
Georgia,GA,13,10711908,7,9,7,8,11,10,11,9,13,13,8,12,11,9,9,8,12,10,9,8,7,9,9,10,13,11,12,12,18,12,11,11,13,14,16,6,6,5,6,4,4,4,4,4,2,2,2,2,1,1,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,3,3,3,15,18,12,20,27,17,19,19,19,22,21,19,22,18,18,24,31,22,23,18,5,19,31,35,26,22,30,29,33,30,27,26,23,27,29,"fashion, beauty, consulting","fashion, beauty, retail","fashion, beauty, retail","beauty, fashion, retail","fashion, retail, beauty","retail, beauty, fashion","beauty, fashion, retail","beauty, fashion, homesvcs","beauty, fashion, homesvcs","beauty, fashion, homesvcs","beauty, fashion, retail","beauty, fashion, retail","beauty, fashion, retail","fashion, beauty, retail","fashion, beauty, retail","beauty, fashion, retail","retail, fashion, beauty","photography, beauty, fashion","beauty, fashion, retail","beauty, fashion, homesvcs","photography, beauty, fashion","beauty, photography, fashion","beauty, fashion, homesvcs","beauty, fashion, homesvcs","photography, beauty, fashion","photography, beauty, fashion","beauty, fashion, homesvcs","beauty, fashion, photography","beauty, marketing, fashion","fashion, beauty, photography","beauty, fashion, photography","beauty, fashion, homesvcs","beauty, fashion, homesvcs","beauty, homesvcs, fashion","beauty, fashion, homesvcs",78.5,70.1,71.6,68.5,67.6,73.8,75.1,75.2,75.4,88.7,101.8,90.9,85.5,82.2,85.2,79.9,84,98.3,89,104.5,103.7,102.5,90,62,68.9,78.1,88.3,84.7,84.8,97.2,94,102.7,102.9,109.8,99.7,12.6
