state_name,state_abbrev,fips,total_pop_20,orders_rank_aug19,orders_rank_sep19,orders_rank_oct19,orders_rank_nov19,orders_rank_dec19,orders_rank_jan20,orders_rank_feb20,orders_rank_mar20,orders_rank_apr20,orders_rank_may20,orders_rank_jun20,orders_rank_jul20,orders_rank_aug20,orders_rank_sep20,orders_rank_oct20,orders_rank_nov20,orders_rank_dec20,orders_rank_jan21,orders_rank_feb21,orders_rank_mar21,orders_rank_apr21,orders_rank_may21,orders_rank_jun21,orders_rank_jul21,orders_rank_aug21,orders_rank_sep21,orders_rank_oct21,orders_rank_nov21,orders_rank_dec21,orders_rank_jan22,orders_rank_feb22,orders_rank_mar22,orders_rank_apr22,orders_rank_may22,orders_rank_jun22,orders_rank_jul22,orders_rank_aug22,orders_rank_sep22,orders_rank_oct22,orders_rank_nov22,orders_rank_dec22,merchants_rank_aug19,merchants_rank_sep19,merchants_rank_oct19,merchants_rank_nov19,merchants_rank_dec19,merchants_rank_jan20,merchants_rank_feb20,merchants_rank_mar20,merchants_rank_apr20,merchants_rank_may20,merchants_rank_jun20,merchants_rank_jul20,merchants_rank_aug20,merchants_rank_sep20,merchants_rank_oct20,merchants_rank_nov20,merchants_rank_dec20,merchants_rank_jan21,merchants_rank_feb21,merchants_rank_mar21,merchants_rank_apr21,merchants_rank_may21,merchants_rank_jun21,merchants_rank_jul21,merchants_rank_aug21,merchants_rank_sep21,merchants_rank_oct21,merchants_rank_nov21,merchants_rank_dec21,merchants_rank_jan22,merchants_rank_feb22,merchants_rank_mar22,merchants_rank_apr22,merchants_rank_may22,merchants_rank_jun22,merchants_rank_jul22,merchants_rank_aug22,merchants_rank_sep22,merchants_rank_oct22,merchants_rank_nov22,merchants_rank_dec22,gmv_rank_aug19,gmv_rank_sep19,gmv_rank_oct19,gmv_rank_nov19,gmv_rank_dec19,gmv_rank_jan20,gmv_rank_feb20,gmv_rank_mar20,gmv_rank_apr20,gmv_rank_may20,gmv_rank_jun20,gmv_rank_jul20,gmv_rank_aug20,gmv_rank_sep20,gmv_rank_oct20,gmv_rank_nov20,gmv_rank_dec20,gmv_rank_jan21,gmv_rank_feb21,gmv_rank_mar21,gmv_rank_apr21,gmv_rank_may21,gmv_rank_jun21,gmv_rank_jul21,gmv_rank_aug21,gmv_rank_sep21,gmv_rank_oct21,gmv_rank_nov21,gmv_rank_dec21,gmv_rank_jan22,gmv_rank_feb22,gmv_rank_mar22,gmv_rank_apr22,gmv_rank_may22,gmv_rank_jun22,gmv_rank_jul22,gmv_rank_aug22,gmv_rank_sep22,gmv_rank_oct22,gmv_rank_nov22,gmv_rank_dec22,top3industries_aug19,top3industries_sep19,top3industries_oct19,top3industries_nov19,top3industries_dec19,top3industries_jan20,top3industries_feb20,top3industries_mar20,top3industries_apr20,top3industries_may20,top3industries_jun20,top3industries_jul20,top3industries_aug20,top3industries_sep20,top3industries_oct20,top3industries_nov20,top3industries_dec20,top3industries_jan21,top3industries_feb21,top3industries_mar21,top3industries_apr21,top3industries_may21,top3industries_jun21,top3industries_jul21,top3industries_aug21,top3industries_sep21,top3industries_oct21,top3industries_nov21,top3industries_dec21,top3industries_jan22,top3industries_feb22,top3industries_mar22,top3industries_apr22,top3industries_may22,top3industries_jun22,top3industries_jul22,top3industries_aug22,top3industries_sep22,top3industries_oct22,top3industries_nov22,top3industries_dec22
Alabama,AL,1,5024279,17,24,23,31,27,34,21,19,16,15,16,26,30,26,26,39,39,35,31,28,31,29,29,24,30,20,27,26,27,25,23,17,19,20,30,26,32,37,40,33,41,35,35,36,43,33,31,30,34,35,31,27,24,30,25,25,27,26,27,30,30,32,29,28,28,29,29,29,29,29,28,26,22,24,28,25,25,26,29,31,28,30,41,38,37,40,39,43,36,39,39,36,29,34,43,40,40,46,47,45,37,37,37,42,41,41,46,41,38,38,41,40,33,30,32,32,45,38,37,39,43,34,45,"fashion, health_med, profsvcs","fashion, health_med, beauty","fashion, health_med, profsvcs","fashion, health_med, profsvcs","fashion, health_med, profsvcs","fashion, profsvcs, health_med","fashion, health_med, profsvcs","profsvcs, fashion, health_med","health_med, fashion, profsvcs","fashion, health_med, beauty","fashion, beauty, health_med","fashion, beauty, health_med","fashion, beauty, profsvcs","fashion, beauty, retail","fashion, beauty, retail","beauty, fashion, profsvcs","fashion, beauty, profsvcs","beauty, fashion, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, charity_or_pol","beauty, fashion, retail","fashion, beauty, performer","fashion, beauty, retail","fashion, beauty, sports","beauty, fashion, retail","beauty, fashion, retail","fashion, beauty, retail","fashion, beauty, retail","fashion, beauty, retail","beauty, fashion, sports","beauty, retail, fashion"
Alaska,AK,2,733391,34,44,47,51,48,49,51,48,45,47,46,41,49,48,48,27,18,42,48,51,51,50,50,50,48,47,46,39,47,51,51,48,46,47,48,46,48,32,22,13,33,29,38,26,29,27,42,24,22,30,41,38,40,38,48,48,39,32,46,40,39,48,47,43,44,44,44,47,38,47,40,47,29,43,29,29,27,43,23,27,37,31,51,50,51,51,50,51,51,50,50,51,51,49,51,51,51,50,51,51,51,51,51,51,51,51,51,51,50,49,50,50,51,49,49,48,50,46,47,31,39,26,27,"retail, artdesign, fashion","retail, education, artdesign","retail, fashion, artdesign","fashion, retail, health_med","fashion, retail, beauty","retail, fashion, health_med","agriculture, fashion, artdesign","artdesign, fashion, agriculture","fashion, health_med, retail","auto, fashion, beauty","fashion, transportation, hobby","auto, fashion, beauty","fashion, auto, beauty","fashion, auto, beauty","fashion, auto, beauty","fashion, retail, health_med","fashion, retail, personalsvcs","retail, fashion, hobby","fashion, retail, hobby","fashion, pets, retail","fashion, retail, profsvcs","fashion, retail, health_med","fashion, retail, profsvcs","fashion, health_med, retail","fashion, realestate, retail","fashion, retail, health_med","fashion, retail, auto","fashion, retail, health_med","fashion, health_med, fooddrink","fashion, realestate, retail","health_med, fashion, entertainment","health_med, retail, realestate","health_med, fashion, retail","health_med, fashion, hobby","health_med, fashion, travel","health_med, fashion, retail","fashion, health_med, artdesign","fashion, health_med, retail","health_med, fashion, retail","fashion, health_med, retail","fashion, health_med, retail"
Arizona,AZ,4,7151502,4,3,3,3,4,4,4,5,12,5,6,6,5,4,4,7,6,5,5,7,8,8,7,5,4,6,5,3,3,5,6,4,4,3,4,3,4,6,5,3,4,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,3,5,4,3,4,4,3,2,4,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,7,7,8,9,12,12,10,12,15,17,15,15,12,12,12,22,22,19,19,19,22,25,3,19,5,8,3,2,17,18,1,10,11,12,14,12,10,1,5,3,11,"industrial, health_med, hobby","fashion, hobby, health_med","health_med, hobby, fashion","beauty, fashion, health_med","auto, health_med, fashion","health_med, auto, fashion","health_med, beauty, auto","auto, health_med, beauty","auto, health_med, retail","beauty, retail, fashion","beauty, fashion, auto","beauty, fashion, health_med","beauty, fashion, industrial","beauty, auto, health_med","beauty, auto, health_med","beauty, auto, health_med","beauty, health_med, pets","beauty, auto, health_med","beauty, health_med, pets","beauty, auto, health_med","beauty, auto, pets","beauty, auto, health_med","beauty, health_med, auto","beauty, health_med, pets","beauty, health_med, pets","beauty, health_med, pets","beauty, health_med, auto","beauty, auto, health_med","health_med, beauty, fashion","beauty, health_med, pets","beauty, health_med, fashion","beauty, sports, health_med","beauty, health_med, fashion","beauty, health_med, pets","beauty, health_med, pets","beauty, health_med, pets","beauty, health_med, pets","beauty, health_med, pets","beauty, health_med, pets","beauty, software_it, health_med","beauty, health_med, pets"
Arkansas,AR,5,3011524,35,48,44,33,12,29,43,41,17,33,24,18,27,25,25,23,20,21,32,20,26,27,39,37,34,30,20,17,29,24,32,38,29,34,38,30,39,36,33,25,40,44,39,44,36,38,38,42,41,43,40,46,39,40,39,39,48,48,45,48,48,46,45,46,45,45,46,46,47,48,47,48,43,42,42,48,48,49,48,47,48,46,29,6,33,4,1,5,5,31,29,31,18,25,24,25,25,20,26,26,25,31,34,33,38,30,32,35,33,15,28,23,32,31,30,34,32,26,27,36,30,20,9,"fashion, pets, hobby","software_it, sports, fashion","fashion, pets, music","software_it, education, music","software_it, music, retail","software_it, pets, hobby","software_it, pets, hobby","hobby, pets, retail","hobby, health_med, fashion","pets, hobby, retail","outdoors, hobby, fashion","pets, fashion, outdoors","retail, pets, fashion","retail, fashion, pets","retail, fashion, pets","homedecor, retail, pets","fooddrink, retail, hobby","retail, pets, education","homedecor, retail, pets","retail, homedecor, hobby","retail, homedecor, hobby","retail, homedecor, health_med","fooddrink, retail, homedecor","homedecor, education, retail","homedecor, retail, hobby","retail, hobby, homedecor","retail, homedecor, hobby","homedecor, fashion, retail","homedecor, retail, hobby","hobby, homedecor, retail","homedecor, retail, health_med","homedecor, retail, agriculture","homedecor, retail, agriculture","homedecor, health_med, retail","homedecor, health_med, education","homedecor, health_med, agriculture","homedecor, health_med, fashion","homedecor, health_med, retail","homedecor, health_med, agriculture","health_med, homedecor, retail","financial, agriculture, homedecor"
California,CA,6,39538224,14,15,16,16,24,15,25,18,19,26,19,21,19,21,21,22,24,19,23,25,23,23,21,17,19,16,19,18,11,14,16,14,15,17,7,22,23,22,21,29,35,20,22,22,25,25,21,20,28,23,22,20,22,21,20,20,22,22,20,20,21,22,22,23,21,22,19,23,24,25,27,25,27,26,25,26,23,25,25,25,30,27,25,25,22,23,23,28,27,23,26,30,30,29,26,29,29,31,34,28,31,32,32,36,35,33,35,28,29,30,27,25,26,19,25,26,30,28,29,30,28,29,33,"fashion, beauty, health_med","auto, beauty, health_med","beauty, health_med, auto","profsvcs, beauty, auto","homesvcs, beauty, fashion","beauty, health_med, fashion","beauty, auto, health_med","health_med, fashion, auto","fashion, fooddrink, health_med","auto, fashion, health_med","fashion, beauty, auto","auto, beauty, fashion","auto, beauty, fashion","beauty, auto, fashion","beauty, auto, fashion","auto, beauty, fashion","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, fashion","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, health_med","auto, retail, beauty","auto, hobby, health_med","auto, health_med, beauty","auto, beauty, hobby","retail, auto, beauty","auto, beauty, fashion","auto, beauty, health_med","auto, fashion, beauty","auto, beauty, health_med","auto, beauty, health_med","auto, beauty, health_med","beauty, auto, health_med","beauty, auto, health_med","beauty, health_med, auto"
Colorado,CO,8,5773714,13,11,14,12,17,9,10,15,22,17,14,7,16,20,20,25,28,14,18,19,19,15,14,23,33,25,23,19,17,19,19,22,21,21,28,24,22,21,16,16,19,10,13,13,14,13,11,11,12,11,13,19,18,17,18,18,16,18,18,17,17,18,16,14,16,14,16,16,16,13,12,14,12,12,12,13,10,9,10,10,11,10,16,16,18,15,21,13,14,13,8,19,17,23,21,21,21,25,23,20,14,24,11,28,34,37,39,32,27,25,6,5,21,20,17,24,33,23,25,27,15,17,19,"photography, health_med, retail","health_med, photography, retail","health_med, photography, restaurant","health_med, retail, photography","health_med, photography, hobby","health_med, hobby, photography","health_med, hobby, photography","hobby, health_med, fooddrink","fooddrink, hobby, health_med","health_med, hobby, fooddrink","hobby, health_med, retail","health_med, retail, hobby","health_med, hobby, beauty","retail, health_med, hobby","retail, health_med, hobby","retail, health_med, fooddrink","retail, health_med, hobby","retail, hobby, health_med","retail, hobby, health_med","hobby, retail, health_med","hobby, sports, retail","sports, hobby, retail","hobby, fitness_wellness, sports","sports, hobby, fitness_wellness","hobby, health_med, retail","retail, hobby, sports","sports, fooddrink, retail","fooddrink, sports, hobby","fashion, hobby, retail","fashion, retail, agriculture","fashion, sports, health_med","fashion, health_med, homesvcs","fashion, sports, homesvcs","sports, health_med, fashion","health_med, homesvcs, sports","sports, health_med, retail","sports, health_med, retail","sports, retail, health_med","charity_or_pol, sports, health_med","sports, health_med, retail","retail, health_med, sports"
Connecticut,CT,9,3605944,38,42,45,29,34,31,14,14,7,10,17,19,15,14,14,11,9,6,6,6,5,6,5,4,6,5,3,5,4,4,3,1,1,1,1,1,1,1,1,1,1,23,27,28,23,22,23,22,26,21,19,18,17,18,16,16,13,14,14,13,14,14,14,16,17,16,17,15,14,12,16,16,15,15,14,16,17,17,15,14,18,19,22,17,28,28,30,29,25,35,22,24,23,24,19,17,17,18,19,21,18,20,18,13,10,10,13,11,8,6,8,10,7,11,8,7,9,7,4,7,9,8,7,"personalsvcs, construction, health_med","personalsvcs, construction, health_med","construction, beauty, software_it","construction, software_it, beauty","health_med, beauty, construction","construction, beauty, health_med","fashion, beauty, health_med","health_med, construction, beauty","fashion, fooddrink, agriculture","fashion, fooddrink, industrial","industrial, beauty, fooddrink","fashion, industrial, beauty","industrial, fashion, guns","fashion, industrial, beauty","fashion, industrial, beauty","industrial, fashion, construction","fashion, industrial, beauty","fashion, industrial, fooddrink","industrial, fashion, health_med","fashion, industrial, health_med","fashion, industrial, retail","fashion, industrial, retail","fashion, retail, industrial","fashion, industrial, retail","fashion, industrial, education","fashion, retail, industrial","fashion, retail, industrial","fashion, retail, industrial","fashion, retail, industrial","fashion, fooddrink, retail","fashion, fooddrink, retail","fashion, fooddrink, retail","fashion, fooddrink, retail","fashion, fooddrink, retail","fashion, retail, fooddrink","fashion, retail, fooddrink","fashion, retail, fooddrink","fashion, retail, fooddrink","fashion, retail, industrial","fashion, retail, fooddrink","fashion, retail, fooddrink"
Delaware,DE,10,989948,26,27,32,24,33,35,36,39,25,25,7,10,7,12,12,16,22,17,17,16,24,26,25,33,24,19,18,20,25,26,33,20,38,39,23,40,8,3,3,4,3,8,7,8,15,14,13,12,11,10,9,9,9,10,8,8,9,10,10,9,8,8,9,8,9,8,9,9,10,9,9,9,8,8,7,8,9,10,9,8,9,9,20,30,39,37,44,40,32,46,49,46,16,26,25,27,27,36,42,39,40,28,31,35,36,28,36,33,39,43,48,31,46,44,44,47,31,48,35,32,26,32,32,"charity_or_pol, pets, industrial","personalsvcs, charity_or_pol, events","personalsvcs, industrial, performer","industrial, personalsvcs, performer","personalsvcs, industrial, pets","personalsvcs, industrial, fashion","industrial, personalsvcs, sports","industrial, consulting, fashion","transportation, pets, fashion","beauty, consulting, fashion","sports, health_med, beauty","sports, health_med, fashion","sports, health_med, personalsvcs","fashion, health_med, retail","fashion, health_med, retail","fashion, industrial, pets","fashion, pets, health_med","fashion, retail, beauty","fashion, beauty, health_med","industrial, fashion, beauty","fashion, industrial, retail","industrial, fashion, beauty","industrial, fashion, sports","sports, industrial, beauty","industrial, fashion, sports","industrial, fashion, beauty","industrial, beauty, fashion","beauty, fashion, sports","fashion, sports, beauty","profsvcs, health_med, beauty","fashion, beauty, profsvcs","fashion, beauty, retail","fashion, beauty, sports","beauty, fashion, retail","retail, fashion, sports","sports, beauty, charity_or_pol","sports, charity_or_pol, events","health_med, charity_or_pol, auto","health_med, fashion, beauty","health_med, sports, fashion","health_med, sports, fashion"
Florida,FL,12,21538188,2,7,5,5,5,5,5,6,10,8,5,5,6,8,8,6,7,7,7,5,4,7,8,7,7,7,6,8,8,8,7,6,7,7,10,10,9,10,8,8,8,5,5,6,5,6,5,6,6,6,7,6,5,5,5,5,8,8,7,7,6,6,6,5,5,5,6,5,7,4,4,4,4,4,5,5,4,5,5,4,6,4,12,15,14,14,18,16,13,14,14,16,14,13,15,15,15,13,16,16,20,15,17,21,21,23,17,23,16,17,18,14,15,14,10,13,13,15,15,18,17,15,17,"fashion, health_med, beauty","health_med, fashion, beauty","health_med, sports, beauty","sports, health_med, retail","hobby, beauty, fashion","beauty, health_med, retail","beauty, health_med, retail","health_med, beauty, retail","fashion, retail, health_med","fashion, beauty, retail","fashion, beauty, health_med","health_med, beauty, fashion","health_med, beauty, fashion","retail, health_med, beauty","retail, health_med, beauty","retail, health_med, beauty","health_med, beauty, fashion","health_med, beauty, software_it","health_med, beauty, fashion","beauty, health_med, auto","beauty, health_med, fooddrink","health_med, beauty, fashion","beauty, health_med, fashion","health_med, beauty, fashion","health_med, beauty, fashion","health_med, beauty, fashion","health_med, beauty, sports","beauty, health_med, retail","health_med, beauty, fashion","health_med, beauty, auto","health_med, beauty, auto","health_med, beauty, auto","health_med, beauty, auto","health_med, beauty, sports","health_med, beauty, auto","health_med, beauty, auto","health_med, beauty, auto","health_med, beauty, auto","health_med, beauty, sports","health_med, beauty, auto","health_med, beauty, auto"
Georgia,GA,13,10711908,7,9,7,8,11,10,11,9,13,13,8,12,11,9,9,8,12,10,9,8,7,9,9,10,13,11,12,12,18,12,11,11,13,14,16,17,16,17,13,14,12,6,6,5,6,4,4,4,4,4,2,2,2,2,1,1,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,15,18,12,20,27,17,19,19,19,22,21,19,22,18,18,24,31,22,23,18,5,19,31,35,26,22,30,29,33,30,27,26,23,27,29,25,19,24,18,24,22,"fashion, beauty, consulting","fashion, beauty, retail","fashion, beauty, retail","beauty, fashion, retail","fashion, retail, beauty","retail, beauty, fashion","beauty, fashion, retail","beauty, fashion, homesvcs","beauty, fashion, homesvcs","beauty, fashion, homesvcs","beauty, fashion, retail","beauty, fashion, retail","beauty, fashion, retail","fashion, beauty, retail","fashion, beauty, retail","beauty, fashion, retail","retail, fashion, beauty","photography, beauty, fashion","beauty, fashion, retail","beauty, fashion, homesvcs","photography, beauty, fashion","beauty, photography, fashion","beauty, fashion, homesvcs","beauty, fashion, homesvcs","photography, beauty, fashion","photography, beauty, fashion","beauty, fashion, homesvcs","beauty, fashion, photography","beauty, marketing, fashion","fashion, beauty, photography","beauty, fashion, photography","beauty, fashion, homesvcs","beauty, fashion, homesvcs","beauty, homesvcs, fashion","beauty, fashion, homesvcs","beauty, health_med, fashion","beauty, charity_or_pol, health_med","photography, beauty, health_med","beauty, personalsvcs, health_med","beauty, photography, fashion","photography, beauty, fashion"
