date,cbsa,cbsa_name,total_pop_20,MAI_composite,engagement,participation,infrastructure
01apr2020,10100,"Aberdeen, SD",42864,103.02,114.54,96.11,103.52
01apr2020,10140,"Aberdeen, WA",73769,98.20999999999999,97.24,98.53,101.25
01apr2020,10180,"Abilene, TX",171354,98.81999999999999,97.75,99.40000000000001,100.3
01apr2020,10220,"Ada, OK",38385,98.61,98.90000000000001,99.84,96.63
01apr2020,10300,"Adrian, MI",98310,102.69,105.49,99.8,103.52
01apr2020,10420,"Akron, OH",703286,103.35,100.77,101.72,106.76
01apr2020,10460,"Alamogordo, NM",66804,103.57,120.33,96.42,96.83
01apr2020,10500,"Albany, GA",147431,96.75,97.14,98.44,96.01000000000001
01apr2020,10540,"Albany-Lebanon, OR",127216,101.98,99.7,101.31,104.11
01apr2020,10580,"Albany-Schenectady-Troy, NY",880766,104.4,96.90000000000001,102.96,112.33
01apr2020,10620,"Albemarle, NC",62050,92.2,76.64,100.65,99.70999999999999
01apr2020,10660,"Albert Lea, MN",30465,97.98,98.24,99.13,97.18000000000001
01apr2020,10700,"Albertville, AL",96137,97.72,100.4,97.95,96.78
01apr2020,10740,"Albuquerque, NM",915986,101.25,97.55,100.97,105.28
01apr2020,10760,"Alexander City, AL",51146,92.33,88.83,97.95999999999999,91.7
01apr2020,10780,"Alexandria, LA",152715,99.55,104.11,99.29000000000001,94.81
01apr2020,10820,"Alexandria, MN",37820,103.72,104.8,101.19,104.31
01apr2020,10860,"Alice, TX",51990,88.41,97.86,95.63,71.22
01apr2020,10900,"Allentown-Bethlehem-Easton, PA-NJ",841265,101.78,96.61,101.7,106.39
01apr2020,10940,"Alma, MI",40692,93.81,100,94.19,93.47
01apr2020,10980,"Alpena, MI",28431,98.43000000000001,101.94,98.2,96.69
01apr2020,11020,"Altoona, PA",122495,98.76000000000001,100.17,99.08,97.72
01apr2020,11060,"Altus, OK",24808,95.77,94.04000000000001,96.65000000000001,101.81
01apr2020,11100,"Amarillo, TX",264345,100.85,99.06999999999999,100.02,104.49
01apr2020,11140,"Americus, GA",34929,100.81,112.29,98.94,89.56
01apr2020,11180,"Ames, IA",123736,105.87,108.91,98.68000000000001,114.5
01apr2020,11220,"Amsterdam, NY",49294,97.06999999999999,98.67,98.53,94.88
01apr2020,11260,"Anchorage, AK",399450,105.86,97.77,103.33,115.7
01apr2020,11380,"Andrews, TX",18227,96.43000000000001,101.26,94.93000000000001,99.67
01apr2020,11420,"Angola, IN",34591,103.09,107.51,99.95,101.88
01apr2020,11460,"Ann Arbor, MI",368385,109.59,99.29000000000001,104.57,124.34
01apr2020,11500,"Anniston-Oxford, AL",114324,96.73,97.86,98.34,95.23
01apr2020,11540,"Appleton, WI",236834,103.25,101.31,100.16,110.3
01apr2020,11580,"Arcadia, FL",37371,91.34999999999999,98.03,100.65,67.3
01apr2020,11620,"Ardmore, OK",58508,94.92,93.76000000000001,98.94,92.05
01apr2020,11660,"Arkadelphia, AR",22341,97.7,105.48,96.97,92.72
01apr2020,11700,"Asheville, NC",459344,105.65,99.51000000000001,105.63,105.65
01apr2020,11740,"Ashland, OH",53533,105.14,116.2,99.97,97.92
01apr2020,11780,"Ashtabula, OH",97416,92.89,89.8,98.19,91.81
01apr2020,11820,"Astoria, OR",39656,106.06,104.55,103.77,105.93
01apr2020,11860,"Atchison, KS",16210,97.84,105.33,97.19,92.81
01apr2020,11900,"Athens, OH",65945,101.78,104.53,99.42,102.44
01apr2020,11940,"Athens, TN",53392,97.03,99.17,99.93000000000001,89.86
01apr2020,11980,"Athens, TX",81969,96.92,96.61,99.78,93.37000000000001
01apr2020,12020,"Athens-Clarke County, GA",210810,104.22,99.7,102.38,109.58
01apr2020,12060,"Atlanta-Sandy Springs-Alpharetta, GA",5947008,106.57,96.25,105.49,114.06
01apr2020,12100,"Atlantic City-Hammonton, NJ",264650,100.79,97.92,99.95,106.02
01apr2020,12120,"Atmore, AL",36775,95.95,116.88,96.17,72.84
01apr2020,12140,"Auburn, IN",43193,97.19,96.64,98.33,98.74
01apr2020,12180,"Auburn, NY",76958,99.75,97.67,100.41,100.96
01apr2020,12220,"Auburn-Opelika, AL",163461,102.38,99.91,99.74,110.1
01apr2020,12260,"Augusta-Richmond County, GA-SC",605303,100.46,98.14,101.08,101.06
01apr2020,12300,"Augusta-Waterville, ME",122158,96.02,97.72,94.2,105.07
01apr2020,12380,"Austin, MN",39931,100.4,105.95,97.70999999999999,100.29
01apr2020,12420,"Austin-Round Rock-Georgetown, TX",2173804,108.75,96.28,107.1,117.62
01apr2020,12460,"Bainbridge, GA",26595,88.23,93.19,97.84,70.26000000000001
01apr2020,12540,"Bakersfield, CA",892458,96.29000000000001,94.52,99.3,95.20999999999999
01apr2020,12580,"Baltimore-Columbia-Towson, MD",2800427,106.3,98.63,104.14,113.8
01apr2020,12620,"Bangor, ME",151696,103.32,108.93,98.34,105.64
01apr2020,12660,"Baraboo, WI",64152,103.38,107.39,99.87000000000001,103.37
01apr2020,12680,"Bardstown, KY",45915,96.29000000000001,91.83,98.42,101.54
01apr2020,12700,"Barnstable Town, MA",213505,107.74,97.2,105.34,117.74
01apr2020,12740,"Barre, VT",58336,108.14,107.33,103.39,111.31
01apr2020,12780,"Bartlesville, OK",51995,102.14,100.96,101.68,101.94
01apr2020,12860,"Batavia, NY",57554,103.12,106.89,100.14,102.25
01apr2020,12900,"Batesville, AR",54802,92.99,99.39,96.55,84.09
01apr2020,12940,"Baton Rouge, LA",856779,100.46,97.12000000000001,100.31,104.76
01apr2020,12980,"Battle Creek, MI",133943,98.34,99.81,97.86,100.23
01apr2020,13020,"Bay City, MI",103506,98.25,101.92,96.56,100.91
01apr2020,13060,"Bay City, TX",36791,92.24,98.09999999999999,96.24,83.84999999999999
01apr2020,13100,"Beatrice, NE",21548,97.34999999999999,98.65000000000001,97.69,98.53
01apr2020,13140,"Beaumont-Port Arthur, TX",394268,97.59,98.65000000000001,98.90000000000001,95.81999999999999
01apr2020,13180,"Beaver Dam, WI",87569,99.56,102.18,98.2,100.7
01apr2020,13220,"Beckley, WV",117539,96.56,102.31,97.24,91.81
01apr2020,13260,"Bedford, IN",45552,97.23,99.17,98.61,94.58
01apr2020,13300,"Beeville, TX",32609,93.99,99.63,98.09,82.98
01apr2020,13340,"Bellefontaine, OH",45315,98.16,93.09,100.32,101.36
01apr2020,13380,"Bellingham, WA",224538,108.12,100.02,105.74,114.19
01apr2020,13420,"Bemidji, MN",46784,102.13,102.15,100.48,103.87
01apr2020,13460,"Bend, OR",191749,109.75,98.77,107.62,116.54
01apr2020,13500,"Bennettsville, SC",26376,87.12000000000001,94.64,95.06999999999999,72.26000000000001
01apr2020,13540,"Bennington, VT",35649,104.88,99.74,103.72,108.07
01apr2020,13620,"Berlin, NH",31486,99.51000000000001,107.06,97.05,97.33
01apr2020,13660,"Big Rapids, MI",43481,99.47,98.16,100.3,99.56
01apr2020,13700,"Big Spring, TX",36213,94.91,96.15000000000001,97.44,93.22
01apr2020,13720,"Big Stone Gap, VA",42001,93.92,101.89,96.61,84.09999999999999
01apr2020,13740,"Billings, MT",180641,103.33,100.2,101.12,109.24
01apr2020,13780,"Binghamton, NY",240473,101.49,101.68,99.44,105.16
01apr2020,13820,"Birmingham-Hoover, AL",1088170,100.83,96.86,100.97,104.6
01apr2020,13900,"Bismarck, ND",128589,103.28,103.44,99.81999999999999,108.54
01apr2020,13940,"Blackfoot, ID",46246,102.73,101.48,100.53,106.95
01apr2020,13980,"Blacksburg-Christiansburg, VA",167201,103.22,104.64,98.84999999999999,109.57
01apr2020,14010,"Bloomington, IL",172164,106.58,107.6,100.1,114.78
01apr2020,14020,"Bloomington, IN",168172,105.62,102.25,101.73,113.47
01apr2020,14100,"Bloomsburg-Berwick, PA",83568,98.23,101.08,97.8,98.27
01apr2020,14140,"Bluefield, WV-VA",106905,92.59,95.90000000000001,96.12000000000001,88.58
01apr2020,14160,"Bluffton, IN",28010,100.98,102.64,99.8,100.81
01apr2020,14180,"Blytheville, AR",41396,91.31999999999999,90.61,96.38,90.06
01apr2020,14220,"Bogalusa, LA",46325,91.67,100.55,94.56999999999999,83.31
01apr2020,14260,"Boise City, ID",730483,105.84,97.67,105.42,109.52
01apr2020,14300,"Bonham, TX",35046,98.13,93.95999999999999,102,95
01apr2020,14380,"Boone, NC",55669,107.94,104.18,104.36,111.93
01apr2020,14420,"Borger, TX",21105,98.72,107.96,95.31,98.28
01apr2020,14460,"Boston-Cambridge-Newton, MA-NH",4854808,104.73,99.38,100.42,117.87
01apr2020,14500,"Boulder, CO",324682,116.12,110.72,106.76,127.43
01apr2020,14540,"Bowling Green, KY",176852,101.4,103.55,99,103.59
01apr2020,14580,"Bozeman, MT",111401,109.07,99.54000000000001,105.17,120.19
01apr2020,14620,"Bradford, PA",41021,101.78,114.06,96.99,96.75
01apr2020,14660,"Brainerd, MN",94237,105.65,105.39,103.29,104.63
01apr2020,14700,"Branson, MO",55563,100.69,91.36,104.18,101.93
01apr2020,14720,"Breckenridge, CO",30735,109.51,96.09999999999999,107.78,118.8
01apr2020,14740,"Bremerton-Silverdale-Port Orchard, WA",268945,106.26,96.3,104.02,117.19
01apr2020,14780,"Brenham, TX",35275,100.03,101.69,101.75,92.56
01apr2020,14820,"Brevard, NC",34039,101.15,85.41,105.95,106.47
01apr2020,14860,"Bridgeport-Stamford-Norwalk, CT",944306,106.08,95.37000000000001,104.07,117.61
01apr2020,15020,"Brookhaven, MS",34197,93.77,100.21,97.47,83.24
01apr2020,15060,"Brookings, OR",22889,95.47,94.5,96.41,100.72
01apr2020,15100,"Brookings, SD",35115,105.75,106.47,99.95999999999999,113.5
01apr2020,15140,"Brownsville, TN",17391,89.36,91.69,97.45,77.84999999999999
01apr2020,15180,"Brownsville-Harlingen, TX",422135,90.06,93.15000000000001,97.84999999999999,77.37000000000001
01apr2020,15220,"Brownwood, TX",37805,101.37,111.4,97.98,95.81999999999999
01apr2020,15260,"Brunswick, GA",118149,100.64,95.88,103.24,98.38
01apr2020,15340,"Bucyrus-Galion, OH",41603,97.95999999999999,102.18,97.7,96
01apr2020,15380,"Buffalo-Cheektowaga, NY",1129018,102.5,99.7,101.48,105.67
01apr2020,15420,"Burley, ID",44664,101.2,103.34,99.36,102.01
01apr2020,15460,"Burlington, IA-IL",45964,98.58,102.25,97.42,99.19
01apr2020,15500,"Burlington, NC",166144,100.04,97.54000000000001,100.86,100.91
01apr2020,15540,"Burlington-South Burlington, VT",219764,108.44,103.69,104.27,114.79
01apr2020,15580,"Butte-Silver Bow, MT",34895,101.31,107.31,98.88,98.43000000000001
01apr2020,15620,"Cadillac, MI",48508,98.24,103.23,97.84,95.27
01apr2020,15660,"Calhoun, GA",57756,97.12000000000001,103.79,97.92,89.97
01apr2020,15680,"California-Lexington Park, MD",113182,104.1,104.91,100.25,108.41
01apr2020,15700,"Cambridge, MD",31994,102.43,107.44,100.77,96.93000000000001
01apr2020,15740,"Cambridge, OH",38996,97.3,102.6,98.56999999999999,90.34
01apr2020,15780,"Camden, AR",28757,92.39,98.76000000000001,96.87000000000001,81.66
01apr2020,15820,"Campbellsville, KY",36572,94.3,96.92,97.24,90.41
01apr2020,15860,"Cañon City, CO",47725,100.93,97.72,101.26,102.92
01apr2020,15940,"Canton-Massillon, OH",398711,100.47,99.14,99.95999999999999,103.08
01apr2020,15980,"Cape Coral-Fort Myers, FL",756570,104.46,93.02,105.77,109.46
01apr2020,16020,"Cape Girardeau, MO-IL",97026,100.27,97.53,100.39,103.23
01apr2020,16060,"Carbondale-Marion, IL",136837,100.54,99.27,101.29,99.18000000000001
01apr2020,16100,"Carlsbad-Artesia, NM",57865,97.12000000000001,99.52,96.88,98.87000000000001
