date,fips,state_abbrev,state_name,total_pop_20,MAI_composite,engagement,participation,infrastructure
01apr2020,1,AL,Alabama,5024279,95.15000000000001,99,96.98,91.83
01apr2020,2,AK,Alaska,733391,102.11,99.5,100.37,107.39
01apr2020,4,AZ,Arizona,7151502,101.63,96.97,103.28,100.54
01apr2020,5,AR,Arkansas,3011524,95.37000000000001,100.38,97.31,90.01000000000001
01apr2020,6,CA,California,39538224,102.05,97.40000000000001,102.93,102.54
01apr2020,8,CO,Colorado,5773714,103.75,99.87000000000001,101.99,108.39
01apr2020,9,CT,Connecticut,3605944,100.41,98.42,99.70999999999999,104.31
01apr2020,10,DE,Delaware,989948,100.78,91.67,103.93,102.14
01apr2020,11,DC,District of Columbia,689545,107.45,101.71,105.2,110.69
01apr2020,12,FL,Florida,21538188,101.42,95.64,103.74,100.09
01apr2020,13,GA,Georgia,10711908,100.08,98.48,101.07,99.16
01apr2020,15,HI,Hawaii,1455271,100.7,96.24,101.77,102.28
01apr2020,16,ID,Idaho,1839106,101.1,100.63,100.95,100.61
01apr2020,17,IL,Illinois,12812508,102.51,103.62,101.42,100.75
01apr2020,18,IN,Indiana,6785528,97.77,100.42,98.33,95.97
01apr2020,19,IA,Iowa,3190369,99.48,104.72,97.90000000000001,98.13
01apr2020,20,KS,Kansas,2937880,100.3,103.21,98.74,100.65
01apr2020,21,KY,Kentucky,4505836,95.77,97.44,97.86,93.61
01apr2020,22,LA,Louisiana,4657757,95.76000000000001,99.26000000000001,98.11,90.59999999999999
01apr2020,23,ME,Maine,1362359,98.17,101.31,96.56999999999999,101.34
01apr2020,24,MD,Maryland,6177224,103.05,99.79000000000001,101.81,106.4
01apr2020,25,MA,Massachusetts,7029917,99.95999999999999,99.62000000000001,97.84999999999999,106.42
01apr2020,26,MI,Michigan,10077331,100.05,102.01,99.59999999999999,98.81
01apr2020,27,MN,Minnesota,5706494,102.29,103.05,100.23,104.03
01apr2020,28,MS,Mississippi,2961279,92.8,97.52,96.29000000000001,86.98
01apr2020,29,MO,Missouri,6154913,99.55,101.73,99.41,97.84
01apr2020,30,MT,Montana,1084225,101.05,102.03,100.16,100.9
01apr2020,31,NE,Nebraska,1961504,100.41,102.89,98.76000000000001,101.43
01apr2020,32,NV,Nevada,3104614,100.96,93.40000000000001,104.5,99.02
01apr2020,33,NH,New Hampshire,1377529,100.7,100.51,98.36,106.62
01apr2020,34,NJ,New Jersey,9288994,100,98.16,99.33,104.19
01apr2020,35,NM,New Mexico,2117522,96.61,101.03,98.29000000000001,91.01000000000001
01apr2020,36,NY,New York,20201248,100.86,98.45999999999999,101.61,100.54
01apr2020,37,NC,North Carolina,10439388,99.75,98.90000000000001,100.72,98.40000000000001
01apr2020,38,ND,North Dakota,779094,99.69,104.46,97.42,100.6
01apr2020,39,OH,Ohio,11799448,99.02,101.23,98.87000000000001,98.04000000000001
01apr2020,40,OK,Oklahoma,3959353,97.68000000000001,98.51000000000001,99.17,95.62000000000001
01apr2020,41,OR,Oregon,4237256,103.25,101.28,102.12,104.43
01apr2020,42,PA,Pennsylvania,13002700,99.83,102.4,99.47,97.88
01apr2020,44,RI,Rhode Island,1097379,98.7,99.78,98.39,100.04
01apr2020,45,SC,South Carolina,5118425,98.31,99.23,99.76000000000001,95.37000000000001
01apr2020,46,SD,South Dakota,886667,102.19,106.97,99.89,99.7
01apr2020,47,TN,Tennessee,6910840,97.79000000000001,98.7,99.70999999999999,94.28
01apr2020,48,TX,Texas,29145504,99.11,96.78,100.87,98.23
01apr2020,49,UT,Utah,3271616,103.94,97.78,103.43,107.63
01apr2020,50,VT,Vermont,643077,101.4,104.7,99.05,102.02
01apr2020,51,VA,Virginia,8631393,102.01,100.21,100.83,104.83
01apr2020,53,WA,Washington,7705281,102.68,98.73,101.74,106.57
01apr2020,54,WV,West Virginia,1793716,94.29000000000001,99.94,96.09,90.03
01apr2020,55,WI,Wisconsin,5893718,100.18,104.05,98.67,99.36
01apr2020,56,WY,Wyoming,576851,100.13,100.31,99.43000000000001,101.74
01may2020,1,AL,Alabama,5024279,96.87000000000001,102.26,97.81,91.83
01may2020,2,AK,Alaska,733391,104.02,103.61,101.05,107.39
01may2020,4,AZ,Arizona,7151502,103.22,101.48,103.36,100.54
01may2020,5,AR,Arkansas,3011524,96.43000000000001,103.72,97.22,90.01000000000001
01may2020,6,CA,California,39538224,104.06,102.11,103.47,102.54
01may2020,8,CO,Colorado,5773714,106.03,104.01,103.14,108.39
01may2020,9,CT,Connecticut,3605944,101.99,103.02,99.75,104.31
01may2020,10,DE,Delaware,989948,102.8,100.69,102.59,102.14
01may2020,11,DC,District of Columbia,689545,107.61,102.02,105.27,110.69
01may2020,12,FL,Florida,21538188,103.14,100.19,103.98,100.09
01may2020,13,GA,Georgia,10711908,101.92,102.69,101.61,99.16
01may2020,15,HI,Hawaii,1455271,102.55,101.59,101.82,102.28
01may2020,16,ID,Idaho,1839106,102.5,104.37,101.12,100.61
01may2020,17,IL,Illinois,12812508,104.24,107.05,102.17,100.75
01may2020,18,IN,Indiana,6785528,98.89,104.1,98.17,95.97
01may2020,19,IA,Iowa,3190369,100.35,107.46,97.81999999999999,98.13
01may2020,20,KS,Kansas,2937880,101.92,106.4,99.45999999999999,100.65
01may2020,21,KY,Kentucky,4505836,97.03,100.37,98.20999999999999,93.61
01may2020,22,LA,Louisiana,4657757,97.23,101.95,98.84,90.59999999999999
01may2020,23,ME,Maine,1362359,99.29000000000001,104.27,96.72,101.34
01may2020,24,MD,Maryland,6177224,104.95,103.96,102.46,106.4
01may2020,25,MA,Massachusetts,7029917,101.76,103.6,98.45,106.42
01may2020,26,MI,Michigan,10077331,101.77,106.13,100.03,98.81
01may2020,27,MN,Minnesota,5706494,103.35,105.64,100.47,104.03
01may2020,28,MS,Mississippi,2961279,94.53,101.37,96.84999999999999,86.98
01may2020,29,MO,Missouri,6154913,100.96,105.2,99.73,97.84
01may2020,30,MT,Montana,1084225,102.24,105.69,100.11,100.9
01may2020,31,NE,Nebraska,1961504,101.89,106.37,99.16,101.43
01may2020,32,NV,Nevada,3104614,102.49,97.72,104.59,99.02
01may2020,33,NH,New Hampshire,1377529,101.98,104.25,98.38,106.62
01may2020,34,NJ,New Jersey,9288994,102.07,102.44,100.15,104.19
