state_abbrev,fips,total_pop_20,activeaug19,activesep19,activeoct19,activenov19,activedec19,activejan20,activefeb20,activemar20,activeapr20,activemay20,activejun20,activejul20,activeaug20,activesep20,activeoct20,activenov20,activedec20,activejan21,activefeb21,activemar21,activeapr21,activemay21,activejun21,activejul21,activeaug21,activesep21,activeoct21,activenov21,activedec21,activejan22,activefeb22,activemar22,activeapr22,activemay22,activejun22,mdaug19,mdsep19,mdoct19,mdnov19,mddec19,mdjan20,mdfeb20,mdmar20,mdapr20,mdmay20,mdjun20,mdjul20,mdaug20,mdsep20,mdoct20,mdnov20,mddec20,mdjan21,mdfeb21,mdmar21,mdapr21,mdmay21,mdjun21,mdjul21,mdaug21,mdsep21,mdoct21,mdnov21,mddec21,mdjan22,mdfeb22,mdmar22,mdapr22,mdmay22,mdjun22
AK,2,733391,29174,29180,29345,29242,29141,29095,28715,29189,29292,29327,29541,29554,29426,29478,29382,29284,29094,25910,26194,26185,26642,26502,26273,25973,25741,25756,25751,26109,25979,25972,25990,25947,28901,28691,30203,3.9779599,3.9787781,4.0012765,3.987232,3.9734602,3.9671881,3.915374,3.9800053,3.9940495,3.998822,4.0280013,4.0297742,4.012321,4.0194111,4.0063214,3.9929588,3.9670517,3.5329039,3.5716283,3.570401,3.6327143,3.6136248,3.5824001,3.5414941,3.5098603,3.5119057,3.5112238,3.5600383,3.5423124,3.541358,3.5438123,3.5379491,3.9407356,3.9121015,4.1182671
AL,1,5024279,145854,146316,147512,147609,146887,147015,145006,147463,148163,149107,150559,151210,152165,151874,150132,149687,148874,135748,136650,136833,138278,137431,136354,135807,134584,134571,135314,133016,131685,131327,131215,130517,148629,150404,148032,2.9029837,2.912179,2.9359834,2.9379141,2.9235439,2.9260914,2.8861055,2.9350083,2.9489405,2.9677293,2.996629,3.0095861,3.0285938,3.0228019,2.9881303,2.9792733,2.9630919,2.7018404,2.7197933,2.7234356,2.7521958,2.7353377,2.7139018,2.7030146,2.6786728,2.6784141,2.6932023,2.6474645,2.6209731,2.6138477,2.6116185,2.5977259,2.9582155,2.9935439,2.9463332
AR,5,3011524,83070,82540,82384,81972,81448,80970,78620,79785,79630,79675,80194,80045,79941,79677,79226,78863,78624,70309,70736,70698,71324,70898,70743,70430,69549,69802,69780,69573,69391,69144,69256,69165,79791,80134,76447,2.758404,2.7408049,2.7356248,2.7219441,2.7045443,2.6886718,2.6106384,2.649323,2.6441762,2.6456704,2.6629043,2.6579566,2.6545031,2.6457369,2.6307611,2.6187074,2.6107712,2.3346651,2.3488441,2.3475821,2.3683689,2.3542233,2.3490765,2.3386829,2.3094287,2.3178298,2.3170993,2.3102257,2.3041823,2.2959805,2.2996993,2.2966776,2.6495223,2.6609118,2.5384822
AZ,4,7151502,569127,569494,571381,569939,569321,569190,559235,568734,569672,571276,574278,579203,577661,577381,575267,574766,573659,520981,525513,528408,535243,533733,531355,529699,525583,525739,528192,529936,527381,524878,524284,523348,582546,583866,607563,7.9581466,7.9632783,7.9896641,7.9695005,7.9608593,7.9590273,7.8198256,7.952651,7.9657674,7.9881959,8.0301733,8.09904,8.0774784,8.0735626,8.0440025,8.0369968,8.0215178,7.2849174,7.3482885,7.3887696,7.484344,7.4632292,7.4299774,7.4068217,7.3492675,7.3514485,7.3857493,7.4101357,7.3744087,7.3394094,7.3311033,7.3180151,8.1457853,8.1642427,8.4955997
CA,6,39538224,3385120,3399802,3424976,3420895,3416147,3430081,3375584,3434085,3432738,3444648,3469473,3489235,3483497,3489708,3478817,3478282,3473062,3172743,3209821,3228968,3272784,3267820,3265325,3266645,3245968,3252854,3270867,3279029,3277727,3263232,3274483,3263508,3277827,3306646,3513590,8.5616388,8.598773,8.6624432,8.6521206,8.6401129,8.675354,8.5375204,8.6854811,8.6820745,8.7121973,8.7749844,8.8249664,8.8104544,8.8261623,8.7986174,8.7972641,8.7840614,8.0244951,8.1182728,8.1666994,8.2775192,8.2649641,8.2586536,8.2619925,8.2096958,8.2271118,8.2726707,8.293314,8.2900209,8.2533598,8.2818165,8.2540579,8.2902737,8.363163,8.8865652
CO,8,5773714,657826,669608,676025,676262,679823,686051,660022,648704,639327,632458,618137,615138,615735,620357,622083,630999,602904,562171,566376,572658,580153,576124,573062,569065,449628,461113,474832,485394,494123,503870,516811,570776,458368,460899,476270,11.393463,11.597527,11.708668,11.712772,11.774448,11.882317,11.431498,11.235472,11.073063,10.954093,10.706055,10.654113,10.664453,10.744505,10.7744,10.928823,10.442222,9.7367306,9.8095608,9.9183645,10.048177,9.9783955,9.9253616,9.8561344,7.7875004,7.9864192,8.2240305,8.4069633,8.5581484,8.726965,8.9511013,9.8857689,7.9388762,7.9827127,8.2489367
CT,9,3605944,236885,237553,239533,239295,239560,240413,237870,240073,239522,239897,243539,245431,245383,247240,247446,247258,246880,227716,229998,231416,233875,233680,233426,234507,233429,234287,236586,237911,238320,238141,239481,240536,249232,251261,248300,6.5692921,6.5878172,6.6427264,6.6361265,6.6434755,6.6671309,6.5966082,6.657702,6.6424217,6.6528211,6.7538209,6.8062897,6.8049588,6.8564572,6.8621697,6.856956,6.8464737,6.3150177,6.3783021,6.4176259,6.4858189,6.4804111,6.4733672,6.5033455,6.4734507,6.4972444,6.5610003,6.5977454,6.6090875,6.6041236,6.6412845,6.6705418,6.9116993,6.9679675,6.8858528
DE,10,989948,85212,85860,87956,88450,89915,90126,90712,93041,94870,97533,99074,100635,132975,132109,130288,131231,132076,124159,128111,133070,154588,159536,168944,178630,150976,158867,163830,169951,173548,173447,180547,186604,175711,185126,130732,8.6077251,8.6731825,8.8849115,8.9348125,9.0827999,9.1041145,9.1633101,9.3985748,9.5833321,9.8523359,10.008,10.165686,13.432524,13.345044,13.161096,13.256352,13.341711,12.541972,12.941185,13.442121,15.615769,16.115595,17.065947,18.044382,15.250902,16.048016,16.549355,17.167669,17.531021,17.520819,18.238029,18.849878,17.749517,18.700579,13.205946
FL,12,21538188,1878128,1881576,1900105,1895635,1894663,1882752,1851150,1888780,1903694,1915147,1928455,1942657,1947914,1940626,1937884,1933389,1962484,1796672,1822528,1831438,1860473,1856153,1855344,1851629,1841379,1854760,1862273,1870971,1874506,1873921,1893470,1892947,2020010,2037564,2065074,8.7199907,8.7359991,8.8220282,8.8012743,8.7967615,8.7414598,8.5947342,8.7694473,8.8386917,8.8918667,8.9536552,9.0195932,9.0440016,9.0101633,8.9974327,8.9765625,9.1116486,8.3417978,8.4618444,8.5032129,8.6380205,8.6179628,8.6142063,8.5969582,8.5493679,8.611495,8.6463776,8.6867619,8.7031736,8.7004576,8.7912226,8.7887945,9.3787365,9.4602385,9.587965
GA,13,10711908,632091,633785,638752,636274,633682,635010,621577,634374,638039,642023,647761,655236,658694,661067,659162,658174,656427,598357,604729,604565,613156,611481,609181,606136,601571,600334,604116,605579,604848,604651,605988,604856,677237,677743,687250,5.9008255,5.9166398,5.9630089,5.9398756,5.915678,5.9280758,5.8026729,5.9221382,5.9563527,5.9935446,6.0471115,6.1168933,6.1491752,6.1713281,6.1535444,6.144321,6.1280117,5.5859051,5.64539,5.6438594,5.7240596,5.7084227,5.6869512,5.658525,5.6159091,5.6043611,5.6396675,5.6533251,5.6465011,5.6446619,5.6571436,5.6465759,6.3222818,6.3270054,6.4157572
