state_abbrev,state,active_aug19,active_sep19,active_oct19,active_nov19,active_dec19,active_jan20,active_feb20,active_mar20,active_apr20,active_may20,active_jun20,active_jul20,active_aug20,active_sep20,active_oct20,active_nov20,active_dec20,active_jan21,active_feb21,active_mar21,active_apr21,active_may21,active_jun21,active_jul21,active_aug21,active_sep21,active_oct21,active_nov21,active_dec21,active_jan22,active_feb22,active_mar22,active_apr22,active_may22,active_jun22,active_jul22,active_aug22,active_sep22,active_dec22,pop_18over_2020,pop_18over_2019,pop_18over_2018,pop_18over_2017,md_aug19,md_sep19,md_oct19,md_nov19,md_dec19,md_jan20,md_feb20,md_mar20,md_apr20,md_may20,md_jun20,md_jul20,md_aug20,md_sep20,md_oct20,md_nov20,md_dec20,md_jan21,md_feb21,md_mar21,md_apr21,md_may21,md_jun21,md_jul21,md_aug21,md_sep21,md_oct21,md_nov21,md_dec21,md_jan22,md_feb22,md_mar22,md_apr22,md_may22,md_jun22,md_jul22,md_aug22,md_sep22
AK,Alaska,31005,29201,29209,29379,29280,29177,28693,28751,29225,29327,29363,29575,29589,29459,29511,29415,29305,29114,28475,28736,28780,28792,28760,28727,28737,28608,28766,28927,29338,29350,29433,29667,29782,29677,29470,29928,29798,29895,30096,553631,552674,552378,554614,5.5903745,5.2651033,5.2665458,5.2971978,5.2793474,5.2820711,5.1944504,5.2049503,5.290761,5.3092265,5.3157439,5.3541236,5.356658,5.3331232,5.3425374,5.3251576,5.305244,5.2678432,5.1522236,5.1994486,5.2074099,5.2095809,5.2037911,5.1978202,5.1996293,5.1762886,5.2048764,5.2340078,5.3083735,5.3013649,5.3163571,5.3586235,5.3793955,5.3604298,5.32304,5.4057665,5.3822851,5.399806
AL,Alabama,146473,146091,146544,147484,147583,147120,144827,145227,147687,148386,149326,150769,151430,152378,152083,150338,149892,149076,145170,146362,150283,150340,150409,150440,150921,150358,151043,152908,150935,150276,150849,151817,151950,151193,153077,156183,156025,156224,157093,3800274,3779874,3765887,3780686,3.874244,3.86414,3.876122,3.9009852,3.9036038,3.9066494,3.8457606,3.8563824,3.9217055,3.9402668,3.9652278,4.0035453,4.0210977,4.0462713,4.0384378,3.9921007,3.9802575,3.9439409,3.8406043,3.8721397,3.9758732,3.9773812,3.9792068,3.980027,3.9927521,3.9778574,3.9959798,4.04532,3.9931226,3.9543464,3.9694242,3.9948962,3.9983959,3.9784763,4.0280519,4.1097827,4.1056252,4.1108613
AR,Arkansas,84119,83122,82536,82434,82022,81505,79648,78678,79841,79685,79729,80249,80096,79996,79730,79278,78911,78671,77283,77966,78327,78292,78349,78432,78682,78311,78965,79711,79657,79820,80005,80800,81144,80858,81212,82643,82155,82648,83000,2309041,2295102,2284728,2295846,3.6639652,3.6205389,3.5950146,3.5905719,3.5726264,3.5673831,3.4861042,3.4436483,3.4945517,3.4877236,3.4896495,3.5124094,3.5057127,3.5013359,3.4896934,3.4699097,3.4538467,3.427778,3.3673012,3.3970604,3.4127896,3.4112644,3.413748,3.4173644,3.4282572,3.4120924,3.4405878,3.4730918,3.4707389,3.4568465,3.4648583,3.4992883,3.5141861,3.5018001,3.5171311,3.5791049,3.5579705,3.5793214
AZ,Arizona,566930,569129,569242,570926,569489,569321,560022,559235,568739,569675,571275,574279,579204,577662,577382,575267,574764,573657,564732,570006,574241,575736,575457,574275,575661,596352,594727,594747,594307,612221,608218,610578,612766,612662,610833,615641,614751,617775,624900,5534419,5414955,5312902,5383542,10.530799,10.571646,10.573745,10.605025,10.578333,10.715819,10.540793,10.52598,10.704865,10.722483,10.752598,10.809139,10.901838,10.872815,10.867545,10.827736,10.818269,10.593939,10.429117,10.526514,10.604723,10.632332,10.62718,10.605351,10.630947,11.013056,10.983046,10.983416,10.975289,11.062064,10.989736,11.032377,11.071912,11.070033,11.036985,11.123859,11.107779,11.162418
CA,California,3399846,3385155,3399638,3422955,3418906,3416141,3377119,3375566,3434134,3432773,3344387,3367579,3387789,3382255,3388314,3378069,3375123,3367806,3250025,3279311,3299287,3299269,3300457,3305970,3320849,3310231,3322318,3359272,3373295,3381723,3384327,3406229,3410210,3389362,3415240,3467806,3460967,3469176,3503104,30389382,30261351,30075105,30479267,11.154618,11.106419,11.153936,11.230437,11.217153,11.3587,11.228951,11.223788,11.418527,11.414001,11.120117,11.197231,11.264429,11.246029,11.266175,11.23211,11.222315,11.129066,10.739854,10.836631,10.902643,10.902583,10.906509,10.924727,10.973895,10.938807,10.97875,11.100866,11.147205,11.127975,11.136544,11.208615,11.221716,11.153112,11.238267,11.411242,11.388738,11.415751
CO,Colorado,461952,460760,460836,464241,462560,461778,472411,475996,482251,486036,489767,497095,500135,498963,503146,499050,500263,466344,448717,451182,453304,451650,451936,452978,455141,477645,490289,506679,518233,528452,540102,555513,468440,465757,468609,475670,474804,475556,477376,4425895,4349344,4271322,4344795,10.632308,10.604874,10.606623,10.684992,10.646302,10.811126,11.060065,11.143997,11.290439,11.379053,11.466403,11.637966,11.709138,11.6817,11.779632,11.683736,11.712135,10.722169,10.316889,10.373565,10.422354,10.384325,10.390901,10.414858,10.46459,10.982001,11.272712,11.649549,11.915199,11.940003,12.203227,12.551428,10.584074,10.523454,10.587893,10.747431,10.727864,10.744855
CT,Connecticut,233797,236908,237561,239527,239292,239584,237231,237891,240098,239553,239927,243567,245461,245410,247270,247473,247293,246913,239547,241939,244019,244630,244908,245542,247819,247581,248926,252256,253955,255439,256757,259087,260730,258583,260552,264295,263711,264525,271951,2834965,2831241,2828879,2845906,8.2152042,8.3245192,8.3474646,8.4165468,8.408289,8.4692202,8.3860426,8.4093733,8.4873905,8.4681244,8.4813452,8.6100187,8.6769705,8.675168,8.7409182,8.7480946,8.7417316,8.7210169,8.4608479,8.5453339,8.6188002,8.6403809,8.6501999,8.6725931,8.7530165,8.7446108,8.7921162,8.9097328,8.9697418,9.0103054,9.0567961,9.1389837,9.1969385,9.1212063,9.1906605,9.32269,9.3020897,9.3308029
DE,Delaware,81003,85208,85833,87940,88439,89913,89264,90710,93041,94870,97533,99074,100635,132975,132109,130288,131231,132076,149854,151898,154900,161388,167261,177477,188686,153412,158281,165937,171175,174899,177297,184528,192030,188034,197998,200280,206502,210289,219146,763472,753564,746069,757626,10.691687,11.24671,11.329205,11.60731,11.673174,12.051566,11.964577,12.158393,12.470831,12.715982,13.07292,13.279469,13.488699,17.823418,17.707344,17.463264,17.589661,17.526846,19.886034,20.15728,20.555653,21.416628,22.195992,23.551682,25.039146,20.358191,21.00432,22.020292,22.715389,22.908371,23.222462,24.169582,25.152199,24.628801,25.933891,26.23279,27.04775,27.543774
FL,Florida,1858825,1878124,1881343,1899156,1894709,1894640,1852277,1851119,1888787,1903702,1915152,1928460,1942655,1947910,1940619,1937876,1933375,1962466,1943538,1964597,1976291,1981541,1984032,1987942,1994383,1991268,2010830,2030520,2043338,2053493,2058968,2089629,2097913,2088037,2108287,2154711,2152894,2063832,2072987,17002480,16719174,16449587,16783620,11.075233,11.19022,11.209399,11.315533,11.289037,11.517858,11.260325,11.253285,11.482276,11.572948,11.642553,11.723455,11.80975,11.841696,11.797372,11.780697,11.753335,11.737817,11.624605,11.750563,11.820506,11.851908,11.866806,11.890193,11.928718,11.910086,12.027089,12.144858,12.221525,12.077609,12.10981,12.290142,12.338864,12.280779,12.399879,12.672922,12.662235,12.138417
GA,Georgia,625043,632105,633733,638672,636197,633697,625553,621593,634402,638058,642038,647775,655247,658703,661075,659169,658173,656426,656210,663116,665179,666064,667946,669899,672732,673008,674809,682795,685369,687396,690116,696334,698036,692781,693429,704867,704752,706772,711005,8011265,7898607,7796189,7914614,7.8973274,7.9865551,8.0071249,8.0695276,8.0382566,8.1282921,8.0238304,7.9730368,8.1373348,8.1842299,8.23528,8.3088675,8.4047089,8.4490385,8.4794636,8.4550152,8.4422398,8.3106556,8.3079205,8.3953533,8.4214725,8.4326773,8.4565039,8.4812298,8.5170965,8.5205908,8.5433922,8.6444988,8.6770868,8.580368,8.6143198,8.6919355,8.7131805,8.6475859,8.655674,8.7984486,8.7970123,8.8222275
